,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,time_taken(min),distance
0,21963,24,5,Sunny,Medium,1,Snack,motorcycle,1,No,Metropolitian,16,20002.52026
1,10410,35,4.3,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,27,20002.52026
2,38301,38,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0,No,Metropolitian,36,20002.52026
3,44997,27,4.9,Windy,Medium,1,Snack,scooter,1,No,Metropolitian,22,20002.52026
4,16861,20,4.7,Cloudy,Jam,0,Buffet,motorcycle,0,Yes,,42,20002.52026
5,7720,37,4.9,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,29,20002.52026
6,22162,22,5,Sandstorms,Low,1,Drinks,motorcycle,1,No,Metropolitian,12,20002.52026
7,13431,,,,,3,Meal,electric_scooter,1,No,Metropolitian,27,20002.52026
8,28737,38,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3,No,Metropolitian,44,20002.52026
9,41391,,,,,3,Snack,electric_scooter,1,No,Metropolitian,31,20002.52026
10,13705,34,4.4,Stormy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,51,20002.52026
11,41447,35,5,Fog,Jam,1,Drinks,scooter,1,No,Metropolitian,37,20002.52026
12,27512,29,4.4,Cloudy,Jam,2,Buffet,scooter,1,No,,36,20002.52026
13,44248,20,4.8,Windy,Low,2,Snack,motorcycle,1,No,Metropolitian,15,20002.52026
14,7755,26,4.6,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,23,20002.52026
15,25267,37,4.7,Stormy,Medium,1,Meal,motorcycle,1,No,Metropolitian,26,20002.52026
16,39689,30,4.9,Cloudy,Jam,0,Snack,motorcycle,1,Yes,Metropolitian,53,20002.52026
17,15031,37,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1,No,Metropolitian,19,20002.52026
18,10307,23,5,Sunny,Low,2,Meal,scooter,1,No,Urban,24,20002.52026
19,39568,22,4.7,Sandstorms,Jam,2,Drinks,scooter,1,No,Metropolitian,26,20002.52026
20,42595,38,5,Cloudy,Jam,2,Meal,motorcycle,1,No,Metropolitian,29,20002.52026
21,21105,29,4.9,Windy,High,2,Snack,electric_scooter,1,No,Urban,13,20002.52026
22,22739,20,4.9,Fog,Jam,0,Buffet,motorcycle,1,No,Metropolitian,40,20002.52026
23,37144,30,4.8,Stormy,Low,2,Meal,scooter,1,No,Metropolitian,26,20002.52026
24,32367,24,4.7,Stormy,Jam,1,Meal,scooter,0,No,Urban,28,20002.52026
25,44899,28,4.8,Sunny,Jam,0,Snack,motorcycle,1,No,Urban,26,20002.52026
26,2408,39,4.9,Windy,Jam,0,Snack,motorcycle,0,Yes,Semi-Urban,50,20002.52026
27,38238,29,4.8,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,20,20002.52026
28,342,33,3.9,Windy,Medium,2,Meal,electric_scooter,1,No,Metropolitian,32,20002.52026
29,37322,35,3.6,Sunny,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,32,20002.52026
30,21967,28,4.5,Windy,Low,0,Buffet,motorcycle,1,No,Urban,19,20002.52026
31,13832,30,4.4,Fog,Jam,2,Snack,scooter,2,No,Metropolitian,40,20002.52026
32,38034,,,Sunny,Jam,1,Drinks,motorcycle,0,No,Metropolitian,28,20002.52026
33,14916,35,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.52026
34,7685,25,5,Sandstorms,Jam,2,Buffet,scooter,0,No,Metropolitian,25,20002.52026
35,20194,,,,,3,Meal,scooter,0,No,Metropolitian,37,20002.52026
36,13458,26,4.7,Windy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,26,20002.52026
37,40412,37,4.9,Sunny,Low,2,Buffet,electric_scooter,1,No,Metropolitian,25,20002.52026
38,25461,32,4.8,Sandstorms,High,1,Snack,scooter,1,No,Metropolitian,25,20002.52026
39,7665,37,4.9,Sunny,High,1,Snack,scooter,1,No,Metropolitian,19,20002.52026
40,36516,32,4.1,Fog,Jam,1,Snack,motorcycle,3,No,Metropolitian,44,20002.52026
41,33886,20,4.7,Sunny,High,1,Drinks,motorcycle,0,No,Urban,16,20002.52026
42,27558,28,4.8,Windy,Low,1,Buffet,motorcycle,0,,Metropolitian,11,20002.52026
43,9595,37,4.8,Windy,Jam,2,Snack,electric_scooter,1,No,Metropolitian,28,20002.52026
44,37624,30,4.7,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,18,20002.52026
45,9722,34,4.7,Sunny,Jam,2,Meal,scooter,1,No,Urban,19,20002.52026
46,33581,20,5,Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,14,20002.52026
47,42416,22,4.7,Cloudy,Low,0,Buffet,motorcycle,1,No,Urban,19,20002.52026
48,22362,39,4.1,Cloudy,High,1,Buffet,scooter,1,No,Metropolitian,33,20002.52026
49,32554,26,4.8,Windy,Jam,2,Buffet,scooter,1,No,Metropolitian,24,20002.52026
50,43306,31,4.8,Sandstorms,Medium,0,Snack,motorcycle,0,No,Metropolitian,44,20002.52026
51,9693,35,4.5,Sunny,Medium,0,Drinks,motorcycle,0,No,Metropolitian,28,20002.52026
52,8467,22,4.7,Sandstorms,High,1,Meal,motorcycle,0,No,Urban,19,20002.52026
53,40278,38,4.8,Sunny,High,2,Drinks,scooter,0,No,Metropolitian,19,20002.52026
54,22825,22,2.8,Sunny,Low,2,Snack,electric_scooter,1,No,Metropolitian,37,20002.52026
55,15460,24,4.8,Cloudy,Medium,1,Buffet,scooter,1,No,Metropolitian,13,20002.52026
56,5860,30,4.3,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,35,20002.52026
57,22802,36,4.4,Cloudy,Medium,2,Meal,scooter,1,No,Metropolitian,42,20002.52026
58,16266,38,4.6,Cloudy,Medium,0,Drinks,motorcycle,3,No,Metropolitian,46,20002.52026
59,30494,34,5,Stormy,Low,2,Buffet,motorcycle,1,No,Metropolitian,20,20002.52026
60,45124,24,4.7,Sunny,Medium,1,Drinks,scooter,1,No,Urban,12,20002.52026
61,24387,21,5,Sunny,Jam,1,Meal,motorcycle,1,No,Urban,19,20002.52026
